none,group1,group2,group3,group4,group5,group1_rank,group2_rank,group3_rank,group4_rank,group5_rank,correlation,pre_grouped,standardized,test_id,model_type,grouping,No_test_obs,Time
4.21895145791497,27.5232051315058,-6.19838228171238,-2.4772173661681,12.8418291090521,-1.03671164417098,1,5,4,2,3,0.1,1,0,3,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-13T02:08:10.347777Z
4.21895074548693,3.1565745296107,-7.11579307925288,-0.493005045914566,-2.15193636192269,-0.386578662787068,1,5,3,4,2,0.1,1,0,4,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-13T02:08:10.347777Z
4.21895081800406,-0.918309753061705,-4.37849405181479,7.97405046707332,-1.67583042426157,-0.833742680748438,3,5,1,4,2,0.1,1,0,5,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-13T02:08:10.347777Z
4.21895193381678,-1.59048531840346,19.2161011422119,2.48766258017343,3.58321519427956,-2.42602944466112,4,1,3,2,5,0.1,1,0,6,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-13T02:08:10.347777Z
4.21895041660209,6.78777956319854,-0.533534015264637,-10.9370325947305,-3.79204485385905,-0.777966793441563,1,2,5,4,3,0.1,1,0,7,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-13T02:08:10.347777Z
4.21895208131986,-0.281474056381803,-2.37220845999123,13.7864315618702,5.20958990920059,3.54668983123215,4,5,1,2,3,0.1,1,0,8,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-13T02:08:10.347777Z
4.21895168452099,-2.0542211564343,-0.96145295120066,8.2033831529789,4.15607105322613,-1.51001499060645,5,3,1,2,4,0.1,1,0,9,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-13T02:08:10.347777Z
4.21895025442386,-8.45118445802516,-0.268422884165449,1.6332565941186,-0.0186733538715477,-7.5788831500251,5,3,1,2,4,0.1,1,0,10,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-13T02:08:10.347777Z
4.21895132604378,-1.83969120074787,19.3470135355864,-2.01424725405234,-6.23113814059383,4.78726114692368,3,1,4,5,2,0.1,1,0,11,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-13T02:08:10.347777Z
4.21895103522577,9.61272215572372,-1.63149917034688,-1.35361595580863,-5.85883470797831,1.18522585174374,1,4,3,5,2,0.1,1,0,12,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-13T02:08:10.347777Z
4.21895179793976,13.9305618279005,2.07612353485345,14.8159084057213,-2.63505598042486,-2.15602210059666,2,3,1,5,4,0.1,1,0,13,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-13T02:08:10.347777Z
4.21895181204225,3.73630923130956,0.033272032860885,-1.90839998872456,-2.59174305470869,20.5810729133622,2,3,4,5,1,0.1,1,0,14,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-13T02:08:10.347777Z
4.21895057516777,-7.30422300813741,-0.981055927110423,-0.230847143486652,-1.02865952634874,-0.212145096464448,5,3,2,4,1,0.1,1,0,15,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-13T02:08:10.347777Z
4.2189509779802,-1.42553274378972,3.13908421922345,-8.21827418511178,9.28911460936763,-1.66492427814683,3,2,5,1,4,0.1,1,0,16,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-13T02:08:10.347777Z
4.21895117041393,5.01746343201135,-2.3352523470938,1.2428569064039,-1.71224829019084,-0.536359187999413,1,5,2,4,3,0.1,1,0,17,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-13T02:08:10.347777Z
4.21895185120063,-1.14283959494607,30.6398065584085,-1.46201541681104,-0.283748446756697,-1.84119808146795,3,1,4,2,5,0.1,1,0,18,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-13T02:08:10.347777Z
4.2189515932376,-1.75473031379761,-0.383952999796619,-4.0611598760931,5.18166473452761,24.034352501625,4,3,5,2,1,0.1,1,0,19,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-13T02:08:10.347777Z
