none,group1,group2,group3,group4,group5,group1_rank,group2_rank,group3_rank,group4_rank,group5_rank,correlation,pre_grouped,standardized,test_id,model_type,grouping,No_test_obs
-0.724169976969269,-0.773033975353719,-0.75549192089432,-0.851329198688554,-0.745278617646912,-1.13784706265502,3,2,4,1,5,0,1,0,86,experiment_lm1,B,100
-0.72416996779267,1.2391970627548,3.32461631224792,0.0772204874942239,0.106667371730272,2.46321171812329,3,1,5,4,2,0,1,0,87,experiment_lm1,B,100
-0.724169984347652,-0.374261747974501,-0.873775266431981,-1.46483188763813,0.846338246572851,-0.620156071359311,2,4,5,1,3,0,1,0,88,experiment_lm1,B,100
-0.724170005589942,0.393634087423344,-1.4277322645176,-0.428537586326099,1.61041687836262,1.37454735441469,3,5,4,1,2,0,1,0,89,experiment_lm1,B,100
-0.724169988173828,0.0593365402216986,-1.00715024177702,1.12791477071964,0.604872367899458,0.450822264562067,4,5,1,2,3,0,1,0,90,experiment_lm1,B,100
-0.724169990611665,1.57804573544703,0.174709567578179,0.47065339533836,0.412666256883149,2.30705478773552,2,5,3,4,1,0,1,0,91,experiment_lm1,B,100
-0.724169998049277,-1.07103112234164,1.09387764597186,0.583400139411986,-0.677201444669644,0.797156761593214,5,1,3,4,2,0,1,0,92,experiment_lm1,B,100
-0.724169980661017,0.00629390215426827,-0.549919053445716,1.3256219929348,0.099429837620246,-0.441917078032867,3,5,1,2,4,0,1,0,93,experiment_lm1,B,100
-0.724169983524566,-0.679588955336905,0.527259313581181,0.280412856557306,1.43185043776151,0.295589706006616,5,2,4,1,3,0,1,0,94,experiment_lm1,B,100
-0.72416997421501,-0.727589267264195,0.971838229473985,0.191875879513626,0.411049721472049,-0.270328110683778,5,1,3,2,4,0,1,0,95,experiment_lm1,B,100
-0.724169981072032,0.0123114648261435,0.0480922080785105,1.4108845831259,0.956137148401346,-3.65244006716485,4,3,1,2,5,0,1,0,96,experiment_lm1,B,100
-0.724169996633093,0.626163036780631,-2.52420059450785,-0.457850669544929,0.775675088193838,2.28943289657168,3,5,4,2,1,0,1,0,97,experiment_lm1,B,100
-0.724169983129806,-0.411667627963759,-1.49086692353341,0.317300871146277,-0.751889158113048,1.51373373671757,3,5,2,4,1,0,1,0,98,experiment_lm1,B,100
-0.724169993122991,0.651691736427952,-1.41822660491327,-1.03780082350204,0.236688202237967,-1.16163868927861,1,5,3,2,4,0,1,0,99,experiment_lm1,B,100
-0.724169989301537,-0.35845293934547,1.13581473788021,-1.15782311585154,1.50775479380308,0.270562346705627,4,2,5,1,3,0,1,0,100,experiment_lm1,B,100
-0.638164411286191,0.462381961634165,-0.228164303053098,0.497003450474676,0.0989584248543643,-0.553216883013582,2,4,1,3,5,0.1,1,0,1,experiment_lm1,B,100
-0.638164421977223,0.576804079975149,0.912992623061767,0.957856372128941,-1.75980182949324,-0.713821866516232,3,2,1,5,4,0.1,1,0,2,experiment_lm1,B,100
-0.638164245819328,-0.644024027882318,-0.203126150446297,0.854003615002336,2.50508531399968,-0.413032946917424,5,3,2,1,4,0.1,1,0,3,experiment_lm1,B,100
-0.638164322836336,-0.875146420275762,-0.0212189471581907,-0.310806356304142,-1.62344489337841,-0.801691923662466,4,1,2,5,3,0.1,1,0,4,experiment_lm1,B,100
-0.638164333023502,-0.605951297618782,1.56428309531031,1.39853812116099,-0.80112131969974,1.31991520058186,4,1,2,5,3,0.1,1,0,5,experiment_lm1,B,100
