n_vars,n_test,n_train,correlation,model,n_batches,n_samples,n_cores,computer_name,approach,time
10,20,10000,0.5,xgboost,8,1000,8,Linuxjullum,independence,13.0120000000002
7,5,1000,0.5,xgboost,10,1000,8,Linuxjullum,independence,9.50500000000011
10,5,1000,0.5,xgboost,10,1000,8,Linuxjullum,independence,10.8240000000001
7,20,1000,0.5,xgboost,10,1000,8,Linuxjullum,independence,9.90099999999984
10,20,1000,0.5,xgboost,10,1000,8,Linuxjullum,independence,13.3850000000002
7,5,10000,0.5,xgboost,10,1000,8,Linuxjullum,independence,9.55999999999995
10,5,10000,0.5,xgboost,10,1000,8,Linuxjullum,independence,10.9549999999999
7,20,10000,0.5,xgboost,10,1000,8,Linuxjullum,independence,10.116
10,20,10000,0.5,xgboost,10,1000,8,Linuxjullum,independence,14.1799999999998
7,5,1000,0.5,xgboost,15,1000,8,Linuxjullum,independence,9.0920000000001
10,5,1000,0.5,xgboost,15,1000,8,Linuxjullum,independence,10.3469999999998
7,20,1000,0.5,xgboost,15,1000,8,Linuxjullum,independence,9.32600000000002
10,20,1000,0.5,xgboost,15,1000,8,Linuxjullum,independence,12.6379999999999
7,5,10000,0.5,xgboost,15,1000,8,Linuxjullum,independence,9.3760000000002
10,5,10000,0.5,xgboost,15,1000,8,Linuxjullum,independence,10.5310000000004
7,20,10000,0.5,xgboost,15,1000,8,Linuxjullum,independence,10.0749999999998
10,20,10000,0.5,xgboost,15,1000,8,Linuxjullum,independence,13.1510000000003
7,5,1000,0.5,xgboost,20,1000,8,Linuxjullum,independence,9.36799999999994
10,5,1000,0.5,xgboost,20,1000,8,Linuxjullum,independence,10.6260000000002
7,20,1000,0.5,xgboost,20,1000,8,Linuxjullum,independence,9.39800000000014
10,20,1000,0.5,xgboost,20,1000,8,Linuxjullum,independence,12.973
7,5,10000,0.5,xgboost,20,1000,8,Linuxjullum,independence,9.54200000000037
10,5,10000,0.5,xgboost,20,1000,8,Linuxjullum,independence,10.7979999999998
7,20,10000,0.5,xgboost,20,1000,8,Linuxjullum,independence,9.89599999999973
10,20,10000,0.5,xgboost,20,1000,8,Linuxjullum,independence,13.6699999999996
7,5,1000,0.5,xgboost,25,1000,8,Linuxjullum,independence,8.99199999999973
10,5,1000,0.5,xgboost,25,1000,8,Linuxjullum,independence,10.096
7,20,1000,0.5,xgboost,25,1000,8,Linuxjullum,independence,9.36299999999983
10,20,1000,0.5,xgboost,25,1000,8,Linuxjullum,independence,12.1700000000001
7,5,10000,0.5,xgboost,25,1000,8,Linuxjullum,independence,9.43600000000015
10,5,10000,0.5,xgboost,25,1000,8,Linuxjullum,independence,10.5929999999998
7,20,10000,0.5,xgboost,25,1000,8,Linuxjullum,independence,9.79199999999992
10,20,10000,0.5,xgboost,25,1000,8,Linuxjullum,independence,12.8210000000004
7,5,1000,0.5,xgboost,30,1000,8,Linuxjullum,independence,9.09000000000015
10,5,1000,0.5,xgboost,30,1000,8,Linuxjullum,independence,10.3699999999999
7,20,1000,0.5,xgboost,30,1000,8,Linuxjullum,independence,9.38000000000011
10,20,1000,0.5,xgboost,30,1000,8,Linuxjullum,independence,12.7979999999998
7,5,10000,0.5,xgboost,30,1000,8,Linuxjullum,independence,9.42700000000059
10,5,10000,0.5,xgboost,30,1000,8,Linuxjullum,independence,10.607
7,20,10000,0.5,xgboost,30,1000,8,Linuxjullum,independence,10.1210000000001
10,20,10000,0.5,xgboost,30,1000,8,Linuxjullum,independence,13.1059999999998
10,5,1000,0.5,xgboost,35,1000,8,Linuxjullum,independence,10.5439999999999
10,20,1000,0.5,xgboost,35,1000,8,Linuxjullum,independence,12.9639999999999
10,5,10000,0.5,xgboost,35,1000,8,Linuxjullum,independence,10.7290000000003
10,20,10000,0.5,xgboost,35,1000,8,Linuxjullum,independence,13.1530000000002
10,5,1000,0.5,xgboost,40,1000,8,Linuxjullum,independence,10.2790000000005
10,20,1000,0.5,xgboost,40,1000,8,Linuxjullum,independence,12.5349999999999
10,5,10000,0.5,xgboost,40,1000,8,Linuxjullum,independence,10.5610000000006
10,20,10000,0.5,xgboost,40,1000,8,Linuxjullum,independence,12.7750000000005
10,5,1000,0.5,xgboost,45,1000,8,Linuxjullum,independence,10.2650000000003
10,20,1000,0.5,xgboost,45,1000,8,Linuxjullum,independence,12.7750000000005
10,5,10000,0.5,xgboost,45,1000,8,Linuxjullum,independence,10.5410000000002
10,20,10000,0.5,xgboost,45,1000,8,Linuxjullum,independence,13.3830000000007
10,5,1000,0.5,xgboost,50,1000,8,Linuxjullum,independence,10.2479999999996
